documento,idCandidato,ipMesa,puerto
173948945,2,x206m03,10017
570517476,3,x206m03,10019
248440178,1,x206m03,10021
973944703,3,x206m03,10023
607119200,1,x206m03,10025
361211308,1,x206m03,10027
13903596,2,x206m03,10029
719761979,3,x206m03,10031
77394114,1,x206m03,10017
726668243,3,x206m03,10019
740250954,3,x206m03,10021
456422339,3,x206m03,10023
817739455,1,x206m03,10025
515416766,1,x206m03,10027
633928297,2,x206m03,10029
895093864,2,x206m03,10031
935300563,2,x206m03,10017
454057513,3,x206m03,10019
128099760,3,x206m03,10021
361266543,1,x206m03,10023
190393137,1,x206m03,10025
538621681,2,x206m03,10027
548725767,1,x206m03,10029
800715766,2,x206m03,10031
674387429,2,x206m03,10017
565556650,1,x206m03,10019
329745848,3,x206m03,10021
809834030,3,x206m03,10023
329440457,1,x206m03,10025
992010580,3,x206m03,10027
393628401,1,x206m03,10029
760389668,1,x206m03,10031
973457295,2,x206m03,10017
272290954,2,x206m03,10019
506815338,3,x206m03,10021
211356484,3,x206m03,10023
155835570,3,x206m03,10025
351906969,2,x206m03,10027
501435710,2,x206m03,10029
579447957,2,x206m03,10031
723573227,1,x206m03,10017
195563705,3,x206m03,10019
835032394,1,x206m03,10021
757632745,1,x206m03,10023
711681467,3,x206m03,10025
854808868,3,x206m03,10027
890305384,1,x206m03,10029
188322939,2,x206m03,10031
697219871,3,x206m03,10017
834665174,3,x206m03,10019
144973705,3,x206m03,10021
476919812,3,x206m03,10023
656838739,1,x206m03,10025
88849476,3,x206m03,10027
912189034,1,x206m03,10029
431702600,2,x206m03,10031
909848655,3,x206m03,10017
775772805,1,x206m03,10019
582326777,3,x206m03,10021
754927005,2,x206m03,10023
953643918,2,x206m03,10025
585901433,2,x206m03,10027
972076676,1,x206m03,10029
197750695,2,x206m03,10031
722016217,2,x206m03,10017
868284284,2,x206m03,10019
313172701,3,x206m03,10021
167666624,2,x206m03,10023
717681703,1,x206m03,10025
565347255,1,x206m03,10027
603336456,3,x206m03,10029
551562327,2,x206m03,10031
705910104,2,x206m03,10017
859402941,3,x206m03,10019
988120937,1,x206m03,10021
417067768,3,x206m03,10023
692166676,3,x206m03,10025
705910104,2,x206m03,10027
14846505,1,x206m03,10029
553533820,1,x206m03,10031
346437274,2,x206m03,10017
349353330,2,x206m03,10019
963459696,1,x206m03,10021
329164405,3,x206m03,10023
842631833,1,x206m03,10025
429068482,3,x206m03,10027
659045303,1,x206m03,10029
595579231,3,x206m03,10031
289635739,2,x206m03,10017
351198398,2,x206m03,10019
207693048,1,x206m03,10021
520397421,3,x206m03,10023
232102282,1,x206m03,10025
873395691,3,x206m03,10027
648034565,3,x206m03,10029
458237027,3,x206m03,10031
254229477,1,x206m03,10017
689845502,1,x206m03,10019
458237027,3,x206m03,10021
517756264,1,x206m03,10023
529642651,1,x206m03,10025
329958346,2,x206m03,10027
261073318,2,x206m03,10029
681626997,3,x206m03,10031
224898989,1,x206m03,10017
771784494,2,x206m03,10019
337817293,1,x206m03,10021
864178875,3,x206m03,10023
833735852,2,x206m03,10025
589463029,2,x206m03,10027
68282492,1,x206m03,10029
112234710,1,x206m03,10031
308263661,3,x206m03,10017
705540286,2,x206m03,10019
935817472,3,x206m03,10021
503786955,3,x206m03,10023
752220400,3,x206m03,10025
853048737,1,x206m03,10027
377654704,1,x206m03,10029
106495230,3,x206m03,10031
615625155,2,x206m03,10017
580842309,2,x206m03,10019
232102282,3,x206m03,10021
879869760,3,x206m03,10023
501497921,2,x206m03,10025
373800086,3,x206m03,10027
628534675,3,x206m03,10029
404006792,3,x206m03,10031
556045689,1,x206m03,10017
554197947,3,x206m03,10019
632653560,2,x206m03,10021
820954879,2,x206m03,10023
437000757,2,x206m03,10025
99526584,3,x206m03,10027
271606448,2,x206m03,10029
840846535,3,x206m03,10031
887587564,1,x206m03,10017
943185966,2,x206m03,10019
133380218,3,x206m03,10021
648885559,1,x206m03,10023
286748212,1,x206m03,10025
737660636,1,x206m03,10027
339785135,3,x206m03,10029
28193686,1,x206m03,10031
444365593,2,x206m03,10017
823109783,3,x206m03,10019
786462377,1,x206m03,10021
142522781,3,x206m03,10023
988480141,1,x206m03,10025
814974686,1,x206m03,10027
627007929,2,x206m03,10029
380081158,3,x206m03,10031
391474538,3,x206m03,10017
30665711,1,x206m03,10019
279890453,3,x206m03,10021
620801493,2,x206m03,10023
827492311,3,x206m03,10025
681892688,2,x206m03,10027
422923198,1,x206m03,10029
282963587,2,x206m03,10031
658170372,1,x206m03,10017
785131747,3,x206m03,10019
398936950,1,x206m03,10021
429204540,3,x206m03,10023
248440178,1,x206m03,10025
824926691,2,x206m03,10027
335468871,3,x206m03,10029
770454408,1,x206m03,10031
140960649,3,x206m03,10017
498837115,3,x206m03,10019
832604216,1,x206m03,10021
193883424,1,x206m03,10023
790819971,1,x206m03,10025
399410600,1,x206m03,10027
282973077,3,x206m03,10029
402487661,2,x206m03,10031
742117409,2,x206m03,10017
482229644,1,x206m03,10019
488736103,3,x206m03,10021
971459729,1,x206m03,10023
782612510,2,x206m03,10025
409549778,2,x206m03,10027
187818623,1,x206m03,10029
371795893,3,x206m03,10031
897067582,2,x206m03,10017
718541091,3,x206m03,10019
181118825,1,x206m03,10021
991925535,2,x206m03,10023
645984899,1,x206m03,10025
505881103,1,x206m03,10027
684090135,1,x206m03,10029
491629894,3,x206m03,10031
557259574,1,x206m03,10017
601639064,3,x206m03,10019
990816301,1,x206m03,10021
744332578,2,x206m03,10023
272290954,2,x206m03,10025
568558517,3,x206m03,10027
864178875,2,x206m03,10029
214657391,2,x206m03,10031
874282377,2,x206m03,10017
803008805,2,x206m03,10019
126858785,2,x206m03,10021
993195859,3,x206m03,10023
177927917,2,x206m03,10025
556960958,2,x206m03,10027
541376715,2,x206m03,10029
719994017,3,x206m03,10031
183346751,2,x206m03,10017
417089186,3,x206m03,10019
924416471,3,x206m03,10021
618101940,3,x206m03,10023
867683971,3,x206m03,10025
796086551,3,x206m03,10027
303862146,3,x206m03,10029
376462345,2,x206m03,10031
159393199,1,x206m03,10017
676708676,1,x206m03,10019
225591187,2,x206m03,10021
167455416,3,x206m03,10023
693419944,1,x206m03,10025
242808965,3,x206m03,10027
774713686,3,x206m03,10029
879075929,3,x206m03,10031
226635613,1,x206m03,10017
301495634,2,x206m03,10019
905695620,1,x206m03,10021
668679178,1,x206m03,10023
883764605,2,x206m03,10025
598933721,2,x206m03,10027
473620086,1,x206m03,10029
600245938,2,x206m03,10031
733354469,1,x206m03,10017
166827018,1,x206m03,10019
191064824,1,x206m03,10021
971092200,1,x206m03,10023
912314647,1,x206m03,10025
581625314,2,x206m03,10027
990737478,2,x206m03,10029
88739301,1,x206m03,10031
93783957,3,x206m03,10017
900051764,3,x206m03,10019
830499278,3,x206m03,10021
216418172,2,x206m03,10023
321554057,3,x206m03,10025
556530982,1,x206m03,10027
994635695,1,x206m03,10029
402487661,3,x206m03,10031
905695620,1,x206m03,10017
507098932,2,x206m03,10019
829689459,2,x206m03,10021
744769930,1,x206m03,10023
226539472,3,x206m03,10025
237355071,2,x206m03,10027
513359459,1,x206m03,10029
77870099,3,x206m03,10031
417361026,1,x206m03,10017
582444694,1,x206m03,10019
926729833,2,x206m03,10021
991310742,3,x206m03,10023
814540934,2,x206m03,10025
782314774,3,x206m03,10027
722392204,2,x206m03,10029
172732325,2,x206m03,10031
337142533,1,x206m03,10017
140776535,1,x206m03,10019
535860585,1,x206m03,10021
266251236,2,x206m03,10023
908804490,2,x206m03,10025
880349737,3,x206m03,10027
764683496,1,x206m03,10029
599504770,2,x206m03,10031
298220278,1,x206m03,10017
717714177,2,x206m03,10019
163845952,3,x206m03,10021
292631472,3,x206m03,10023
336488554,2,x206m03,10025
815377203,3,x206m03,10027
399447442,1,x206m03,10029
524863745,1,x206m03,10031
407386832,2,x206m03,10017
425330622,3,x206m03,10019
478381652,1,x206m03,10021
81400844,2,x206m03,10023
97917136,2,x206m03,10025
809205788,2,x206m03,10027
432787407,3,x206m03,10029
662069094,2,x206m03,10031
693835301,3,x206m03,10017
761887468,1,x206m03,10019
770752807,2,x206m03,10021
489660274,2,x206m03,10023
695837992,2,x206m03,10025
271548388,2,x206m03,10027
530264603,2,x206m03,10029
789517472,1,x206m03,10031
937212893,2,x206m03,10017
302811320,2,x206m03,10019
615087318,2,x206m03,10021
519045919,1,x206m03,10023
358608966,1,x206m03,10025
602007101,1,x206m03,10027
787758688,3,x206m03,10029
940949366,1,x206m03,10031
981049321,3,x206m03,10017
523571231,2,x206m03,10019
528385727,3,x206m03,10021
94010836,1,x206m03,10023
569021824,3,x206m03,10025
386256311,3,x206m03,10027
625524957,2,x206m03,10029
257841166,2,x206m03,10031
799135361,2,x206m03,10017
266392931,2,x206m03,10019
826700355,1,x206m03,10021
375322466,2,x206m03,10023
707636939,3,x206m03,10025
45717929,1,x206m03,10027
399652460,2,x206m03,10029
290239493,2,x206m03,10031
269245482,2,x206m03,10017
428548407,2,x206m03,10019
287128281,2,x206m03,10021
596126603,1,x206m03,10023
99736722,1,x206m03,10025
159708973,3,x206m03,10027
562302566,3,x206m03,10029
25518137,2,x206m03,10031
492647257,2,x206m03,10017
504874509,1,x206m03,10019
694255000,1,x206m03,10021
489090743,3,x206m03,10023
200819425,1,x206m03,10025
323363500,1,x206m03,10027
605300243,1,x206m03,10029
916504128,3,x206m03,10031
680599353,1,x206m03,10017
747786491,2,x206m03,10019
416253011,1,x206m03,10021
683712063,2,x206m03,10023
936093405,3,x206m03,10025
601420962,3,x206m03,10027
505675737,2,x206m03,10029
677175989,3,x206m03,10031
953053435,1,x206m03,10017
255028436,1,x206m03,10019
506990553,2,x206m03,10021
60536937,2,x206m03,10023
771312784,3,x206m03,10025
381370577,2,x206m03,10027
919670911,3,x206m03,10029
720625677,3,x206m03,10031
838923950,1,x206m03,10017
997476255,1,x206m03,10019
518345024,3,x206m03,10021
75022612,3,x206m03,10023
