documento,idCandidato,ipMesa,puerto
764266201,2,x206m03,10017
462645454,3,x206m03,10019
303136038,3,x206m03,10021
461145518,2,x206m03,10023
838426051,2,x206m03,10025
688736251,3,x206m03,10027
634423299,1,x206m03,10029
775043855,3,x206m03,10031
131885826,2,x206m03,10017
954278382,2,x206m03,10019
810395684,3,x206m03,10021
280301582,1,x206m03,10023
709790458,3,x206m03,10025
107961563,1,x206m03,10027
747518259,1,x206m03,10029
880591281,3,x206m03,10031
549159825,1,x206m03,10017
648194652,1,x206m03,10019
524863745,1,x206m03,10021
410985287,1,x206m03,10023
69605883,1,x206m03,10025
94010836,2,x206m03,10027
683712063,3,x206m03,10029
803364527,2,x206m03,10031
824492979,3,x206m03,10017
59103911,3,x206m03,10019
281735767,1,x206m03,10021
386237304,2,x206m03,10023
459160214,2,x206m03,10025
167455416,2,x206m03,10027
306626004,2,x206m03,10029
408013057,1,x206m03,10031
413380670,2,x206m03,10017
373462818,3,x206m03,10019
98320864,1,x206m03,10021
494857179,3,x206m03,10023
943990780,1,x206m03,10025
821208416,2,x206m03,10027
979508466,3,x206m03,10029
803733739,2,x206m03,10031
144973705,1,x206m03,10017
680686746,2,x206m03,10019
626700360,3,x206m03,10021
850216437,2,x206m03,10023
900170099,2,x206m03,10025
314758735,2,x206m03,10027
719761979,1,x206m03,10029
639800270,3,x206m03,10031
342282889,1,x206m03,10017
444923051,1,x206m03,10019
813465845,1,x206m03,10021
472307187,1,x206m03,10023
114871623,1,x206m03,10025
119614002,3,x206m03,10027
693061880,1,x206m03,10029
488165453,2,x206m03,10031
145078407,2,x206m03,10017
763967848,3,x206m03,10019
919511692,2,x206m03,10021
899966376,2,x206m03,10023
493288577,1,x206m03,10025
285093809,1,x206m03,10027
697534152,3,x206m03,10029
802356100,2,x206m03,10031
779887352,1,x206m03,10017
849705643,1,x206m03,10019
334949044,2,x206m03,10021
184067898,2,x206m03,10023
331039908,1,x206m03,10025
143397747,2,x206m03,10027
713787693,2,x206m03,10029
